wavelength	intensity
496.0459	369
496.37759	353
496.70929	353
497.04089	347
497.37259	317
497.70425	300
498.03595	302
498.36761	298
498.69931	296
499.03098	296
499.36267	302
499.69437	323
500.02603	349
500.35773	352
500.68939	363
501.02109	342
501.35275	312
501.68445	289
502.01617	278
502.34787	267
502.67953	250
503.01123	259
503.3429	256
503.67465	259
504.00632	253
504.33801	250
504.66968	251
505.00143	252
505.3331	246
505.66479	245
505.99652	248
506.32822	251
506.65988	240
506.99164	240
507.3233	239
507.65506	239
507.98672	237
508.31845	233
508.65015	234
508.98187	231
509.31357	232
509.64529	235
509.97699	231
510.30872	234
510.64041	232
510.97214	233
511.30389	231
511.63556	231
511.96732	225
512.29901	226
512.63074	225
512.96246	225
513.29419	226
513.62585	229
513.95764	226
514.28937	226
514.62109	221
514.95282	225
515.28455	227
515.61627	221
515.948	222
516.27972	221
516.61145	223
516.94318	220
517.27496	218
517.60669	220
517.93842	221
518.27014	218
518.60187	215
518.93365	215
519.26538	217
519.59711	216
519.92883	220
520.26056	217
520.59235	218
520.92407	216
521.25586	215
521.58759	219
521.91931	216
522.2511	217
522.58282	216
522.91461	216
523.24634	217
523.57806	214
523.90979	215
524.24164	214
524.57336	211
524.90509	213
525.23688	215
525.5686	213
525.90039	214
526.23218	210
526.5639	214
526.89569	214
527.22742	216
527.5592	213
527.89099	212
528.22278	215
528.5545	213
528.88629	212
529.21802	212
529.5498	212
529.88153	208
530.21338	214
530.54517	211
530.87689	213
531.20868	212
531.54041	210
531.87219	211
532.20404	212
532.53583	210
532.86755	209
533.19934	210
533.53113	209
533.86292	212
534.19464	207
534.52649	211
534.85828	212
535.19006	209
535.52185	209
535.85364	207
536.18542	207
536.51715	208
536.849	209
537.18079	210
537.51257	210
537.84436	209
538.17615	209
538.50793	207
538.83972	208
539.17151	206
539.50336	206
539.83521	205
540.16699	209
540.49878	208
540.83057	210
541.16235	208
541.49414	205
541.82593	209
542.15784	207
542.48962	210
542.82141	208
543.1532	206
543.48499	208
543.81683	208
544.14862	206
544.48041	206
544.81226	208
545.1441	207
545.47589	205
545.80774	205
546.13953	208
546.47131	205
546.80316	206
547.13495	210
547.4668	207
547.79858	208
548.13043	206
548.46228	207
548.79413	203
549.12592	207
549.45776	207
549.78955	208
550.1214	208
550.45319	206
550.78503	205
551.11688	206
551.44867	206
551.78052	204
552.11243	206
552.44421	206
552.77606	206
553.10791	207
553.4397	205
553.77155	205
554.10339	207
554.43524	207
554.76709	207
555.09888	207
555.43073	204
555.76257	206
556.09442	206
556.42633	206
556.75818	205
557.08997	204
557.42181	207
557.75366	204
558.08551	205
558.41736	205
558.74921	205
559.08105	204
559.4129	202
559.74475	205
560.0766	205
560.40845	206
560.7403	205
561.07214	206
561.40405	207
561.7359	206
562.06781	205
562.39966	205
562.73151	205
563.06335	207
563.39526	205
563.72711	206
564.05896	205
564.39081	205
564.72266	205
565.05457	205
565.38641	203
565.71826	203
566.05017	206
566.38202	203
566.71387	207
567.04578	205
567.37762	205
567.70947	205
568.04138	205
568.37323	204
568.70514	204
569.03699	205
569.3689	203
569.70074	206
570.03265	204
570.36456	207
570.69647	205
571.02832	204
571.36023	204
571.69208	206
572.02399	205
572.35583	207
572.68774	204
573.01965	204
573.3515	206
573.68341	205
574.01532	206
574.34717	205
574.67908	204
575.01099	205
575.34283	206
575.67474	203
576.00665	207
576.33856	207
576.67041	204
577.00232	206
577.33423	204
577.66614	204
577.99805	205
578.32996	205
578.6618	205
578.99371	204
579.32562	205
579.65753	207
579.98944	207
580.32135	204
580.65326	206
580.98517	205
581.31708	203
581.64899	207
581.9809	204
582.31281	205
582.64471	205
582.97662	206
583.30853	205
583.64044	206
583.97235	205
584.30426	207
584.63623	205
584.96814	205
585.30005	206
585.63196	205
585.96387	204
586.29578	204
586.62775	207
586.95966	206
587.29156	206
587.62347	207
587.95538	205
588.28729	207
588.6192	204
588.95117	206
589.28308	207
589.61499	205
589.94696	205
590.27887	205
590.61078	205
590.94275	206
591.27466	207
591.60663	205
591.93854	208
592.27051	207
592.60242	206
592.93433	204
593.2663	207
593.59821	205
593.93018	207
594.26215	206
594.59406	207
594.92603	207
595.25793	209
595.5899	208
595.92181	207
596.25378	207
596.58569	210
596.9176	207
597.24957	209
597.58154	208
597.91345	209
598.24542	209
598.57739	212
598.90936	207
599.24127	207
599.57324	208
599.90521	212
600.23718	211
600.56909	209
600.90106	209
601.23303	213
601.565	210
601.89697	211
602.22888	207
602.56079	209
602.89276	213
603.22473	211
603.5567	210
603.88867	212
604.22064	211
604.55261	216
604.88458	211
605.21655	214
605.54852	213
605.88049	216
606.21246	214
606.54443	210
606.87634	210
607.20831	216
607.54028	213
607.87225	215
608.20422	215
608.53625	215
608.86823	215
609.2002	213
609.53217	215
609.86414	218
610.19611	216
610.52808	220
610.86005	217
611.19202	215
611.52399	218
611.85602	216
612.18799	217
612.51996	220
612.85193	217
613.18396	218
613.51593	220
613.8479	222
614.17987	224
614.51184	219
614.84381	220
615.17584	221
615.50781	223
615.83984	224
616.17181	217
616.50378	223
616.83582	221
617.16779	223
617.49976	224
617.83173	221
618.16376	228
618.49573	222
618.82776	222
619.15973	226
619.49176	225
619.82373	230
620.15576	223
620.48773	229
620.8197	225
621.15173	229
621.4837	226
621.81573	229
622.14777	226
622.47974	227
622.81177	229
623.14374	228
623.47571	231
623.80774	231
624.13977	232
624.4718	229
624.80377	233
625.1358	231
625.46783	235
625.7998	238
626.13177	233
626.46381	234
626.79584	236
627.12787	238
627.4599	239
627.79193	234
628.1239	237
628.45587	240
628.7879	240
629.11993	239
629.45197	241
629.784	236
630.11603	239
630.448	242
630.78003	239
631.11206	239
631.44409	239
631.77612	238
632.10815	240
632.44019	241
632.77216	244
633.10419	245
633.43622	245
633.76825	241
634.10028	239
634.43231	242
634.7644	245
635.09637	248
635.42841	246
635.76044	243
636.09247	243
636.4245	245
636.75653	245
637.08856	249
637.42059	248
637.75262	243
638.08466	243
638.41675	241
638.74878	249
639.08081	245
639.41278	246
639.74487	245
640.0769	251
640.40894	248
640.74103	248
641.07306	247
641.40503	245
641.73712	253
642.06915	245
642.40125	249
642.73328	254
643.06531	254
643.39734	255
643.72937	255
644.06146	257
644.39349	250
644.72559	255
645.05756	258
645.38965	256
645.72168	258
646.05377	258
646.3858	259
646.7179	259
647.04987	261
647.38196	267
647.71399	263
648.04608	269
648.37817	273
648.71014	270
649.04224	278
649.37427	275
649.70636	274
650.03845	271
650.37042	275
650.70251	278
651.03461	283
651.36664	289
651.69873	278
652.03076	285
652.36285	289
652.69489	288
653.02698	291
653.35907	295
653.6911	289
654.02313	300
654.35522	302
654.68732	311
655.01941	306
655.35144	309
655.68353	311
656.01556	318
656.34766	324
656.67975	314
657.01178	317
657.34387	326
657.67596	329
658.00806	334
658.34015	329
658.67218	339
659.00427	345
659.33636	352
659.66846	352
660.00055	365
660.33258	363
660.66467	363
660.99677	370
661.32886	376
661.66095	385
661.99298	376
662.32507	391
662.65717	396
662.98926	399
663.32129	411
663.65338	411
663.98547	424
664.31757	433
664.64972	436
664.98175	433
665.31384	452
665.64594	452
665.97803	450
666.31006	454
666.64221	470
666.9743	470
667.3064	481
667.63849	482
667.97058	489
668.30267	485
668.63477	493
668.96686	502
669.29895	493
669.63104	497
669.96313	498
670.29529	521
670.62732	519
670.95941	522
671.29156	537
671.62366	543
671.95569	532
672.28784	548
672.61993	547
672.95209	559
673.28412	551
673.61621	563
673.94836	558
674.28046	564
674.61255	571
674.94464	557
675.27679	567
675.60889	565
675.94104	559
676.27307	566
676.60522	555
676.93732	554
677.26947	562
677.6015	548
677.93365	557
678.26581	540
678.5979	527
678.92999	531
679.26208	540
679.59424	506
679.92633	520
680.25842	507
680.59058	500
680.92267	498
681.25476	504
681.58691	488
681.91901	481
682.25116	477
682.58325	484
682.91541	477
683.2475	462
683.57965	477
683.91174	460
684.2439	462
684.57599	454
684.90814	454
685.24023	435
685.57239	433
685.90448	433
686.23663	431
686.56873	432
686.90088	411
687.23303	429
687.56512	412
687.89722	425
688.22937	412
688.56152	406
688.89362	403
689.22577	406
689.55792	398
689.89001	393
690.22217	399
690.55432	389
690.88647	387
691.21857	388
691.55072	385
691.88287	375
692.21503	380
692.54706	372
692.87927	365
693.21143	363
693.54352	358
693.87567	358
694.20782	358
694.53998	348
694.87207	349
695.20422	350
695.53638	341
695.86847	347
696.20062	335
696.53278	341
696.86493	328
697.19702	332
697.52924	328
697.86139	333
698.19348	313
698.52563	326
698.85779	322
699.18994	321
699.52209	319
699.85425	314
700.1864	320
700.51849	312
700.85065	308
701.18286	308
701.51495	306
701.84711	304
702.17926	304
702.51141	301
702.84357	301
703.17572	294
703.50793	299
703.84003	294
704.17218	291
704.50439	294
704.83649	289
705.16864	290
705.50085	287
705.83295	285
706.1651	286
706.49731	279
706.82947	293
707.16156	282
707.49377	282
707.82593	275
708.15808	274
708.49023	276
708.82245	277
709.15454	271
709.48676	274
709.81891	274
710.151	268
710.48322	265
710.81537	264
711.14752	266
711.47968	263
711.81189	261
712.14404	260
712.4762	254
712.80841	260
713.14056	257
713.47272	250
713.80487	255
714.13708	251
714.46918	249
714.80139	243
715.13361	250
715.4657	246
715.79791	248
716.13013	245
716.46222	247
716.79443	242
717.12665	243
717.45874	243
717.79095	242
718.12317	238
718.45526	243
718.78748	240
719.11969	242
719.45178	237
719.784	241
720.11621	238
720.44836	239
720.78052	243
721.11273	235
721.44489	236
721.7771	234
722.10925	237
722.44141	237
722.77362	236
723.10583	234
723.43799	233
723.77014	237
724.10236	233
724.43451	237
724.76672	231
725.09894	234
725.43109	237
725.76331	235
726.09546	235
726.42761	231
726.75983	230
727.09204	232
727.42419	233
727.75641	229
728.08862	228
728.42078	229
728.75299	228
729.08514	227
729.41736	226
729.74957	228
730.08173	230
730.41394	230
730.74615	226
731.07831	221
731.41052	227
731.74274	223
732.07489	226
732.4071	225
732.73932	231
733.07147	225
733.40369	223
733.7359	221
734.06805	223
734.40027	218
734.73248	224
735.06464	221
735.39685	218
735.729	222
736.06128	222
736.39349	219
736.72565	221
737.05786	220
737.39008	220
737.72223	220
738.05444	220
738.38672	221
738.71887	218
739.05109	218
739.38324	222
739.71545	217
740.04773	221
740.37988	222
740.7121	221
741.04431	221
741.37653	218
741.70874	217
742.04095	219
742.37311	215
742.70538	220
743.03754	216
743.36975	216
743.70197	217
744.03418	215
744.36639	215
744.69861	216
745.03082	218
745.36304	216
745.69519	214
746.02747	214
746.35968	216
746.69183	216
747.02411	216
747.35632	216
747.68848	213
748.02075	216
748.35291	212
748.68518	215
749.0174	210
749.34955	215
749.68182	212
750.01404	211
750.34625	210
750.67847	213
751.01068	215
751.3429	213
751.67511	213
752.00732	211
752.33954	211
752.67175	212
753.00397	213
753.33624	209
753.6684	211
754.00067	211
754.33289	209
754.6651	211
754.99731	212
755.32953	207
755.6618	213
755.99402	210
756.32623	209
756.65845	210
756.99066	211
757.32288	210
757.65515	211
757.98737	211
758.31958	210
758.65179	209
758.98401	207
759.31628	207
759.6485	209
759.98071	207
760.31293	207
760.64514	208
760.97742	207
761.30963	209
761.64185	208
761.97412	210
762.30634	208
762.63855	210
762.97076	207
763.30304	207
763.63531	208
763.96747	207
764.29974	206
764.63196	208
764.96417	207
765.29645	209
765.62866	208
765.96094	207
766.29309	207
766.62537	205
766.95764	208
767.28986	206
767.62207	208
767.95428	206
768.28656	208
768.61877	206
768.95105	208
769.28326	207
769.61548	209
769.94775	208
770.27997	205
770.61224	207
770.94452	208
771.27667	208
771.60895	205
771.94116	207
772.27344	206
772.60571	207
772.93793	207
773.2702	207
773.60236	209
773.93463	207
774.26691	206
774.59912	205
774.9314	208
775.26361	205
775.59589	205
775.9281	208
776.26038	209
776.59265	206
776.92487	207
777.25714	207
777.58936	204
777.92163	205
778.25385	207
778.58606	208
778.91833	207
779.25055	210
779.58282	206
779.91504	206
780.24731	205
780.57959	206
780.9118	205
781.24408	207
781.57629	205
781.90863	207
782.24084	207
782.57312	206
782.9054	206
783.23761	204
783.56989	206
783.9021	204
784.23438	206
784.56665	204
784.89886	204
785.23114	206
785.56335	204
785.89563	205
786.22784	204
786.56018	202
786.89246	207
787.22467	205
787.55695	205
787.88916	205
788.22144	204
788.55365	205
788.88593	206
789.21826	206
789.55048	204
789.88275	205
790.21497	208
790.54724	205
790.87946	204
791.21179	206
791.54407	204
791.87628	203
792.20856	207
792.54077	203
792.87311	203
793.20532	205
793.5376	205
793.86987	202
794.20209	205
794.53442	204
794.86664	205
795.19891	205
795.53113	205
795.86346	206
796.19568	203
796.52795	204
796.86029	205
797.1925	202
797.52478	203
797.85699	205
798.18933	204
798.52155	205
798.85382	204
799.1861	204
799.51837	203
799.85065	205
800.18286	205
800.5152	203
800.84741	201
801.17969	202
801.51196	205
801.84424	205
802.17651	204
802.50879	204
802.84106	204
803.17334	205
803.50562	204
803.83783	205
804.17017	203
804.50238	203
804.83466	205
805.16699	203
805.49921	202
805.83154	204
806.16376	202
806.49603	203
806.82831	203
807.16058	205
807.49286	203
807.82513	202
808.15741	202
808.48969	203
808.82196	202
809.15424	203
809.48651	204
809.81879	203
810.15106	203
810.48334	203
810.81561	204
811.14789	203
811.48016	203
811.8125	204
812.14471	205
812.47705	203
812.80927	204
813.14154	206
813.47382	204
813.80609	204
814.13837	204
814.4707	205
814.80292	204
815.13525	206
815.46753	205
815.7998	206
816.13208	206
816.46436	206
816.79663	209
817.12891	211
817.46118	211
817.79346	210
818.12573	212
818.45801	214
818.79034	220
819.12262	222
819.4549	221
819.78717	217
820.11945	221
820.45172	218
820.784	216
821.11633	217
821.44855	217
821.78088	218
822.1131	219
822.44543	219
822.77771	218
823.10999	219
823.44232	217
823.7746	218
824.10687	221
824.43915	216
824.77142	215
825.1037	217
825.43604	216
825.76825	215
826.10059	215
826.43286	215
826.76514	218
827.09741	214
827.42975	213
827.76202	213
828.0943	214
828.42664	213
828.75885	212
829.09119	211
829.42346	214
829.75574	212
830.08801	214
830.42035	214
830.75256	212
831.0849	214
831.41718	213
831.74951	210
832.08173	211
832.41406	214
832.74634	209
833.07861	209
833.41095	212
833.74323	210
834.07556	212
834.40778	212
834.74011	212
835.07239	215
835.40472	212
835.73694	214
