wavelength	intensity
496.0459	386
496.37759	361
496.70929	331
497.04089	310
497.37259	291
497.70425	278
498.03595	279
498.36761	280
498.69931	274
499.03098	271
499.36267	276
499.69437	279
500.02603	267
500.35773	273
500.68939	274
501.02109	280
501.35275	271
501.68445	269
502.01617	276
502.34787	271
502.67953	269
503.01123	269
503.3429	277
503.67465	275
504.00632	274
504.33801	275
504.66968	265
505.00143	271
505.3331	268
505.66479	273
505.99652	269
506.32822	269
506.65988	276
506.99164	274
507.3233	273
507.65506	275
507.98672	272
508.31845	271
508.65015	276
508.98187	271
509.31357	274
509.64529	278
509.97699	272
510.30872	279
510.64041	279
510.97214	284
511.30389	276
511.63556	279
511.96732	282
512.29901	279
512.63074	277
512.96246	281
513.29419	285
513.62585	283
513.95764	288
514.28937	285
514.62109	285
514.95282	289
515.28455	284
515.61627	285
515.948	290
516.27972	282
516.61145	285
516.94318	289
517.27496	290
517.60669	292
517.93842	289
518.27014	295
518.60187	299
518.93365	287
519.26538	291
519.59711	297
519.92883	292
520.26056	298
520.59235	297
520.92407	306
521.25586	296
521.58759	298
521.91931	302
522.2511	303
522.58282	303
522.91461	299
523.24634	308
523.57806	304
523.90979	306
524.24164	315
524.57336	311
524.90509	308
525.23688	308
525.5686	313
525.90039	311
526.23218	319
526.5639	307
526.89569	311
527.22742	318
527.5592	311
527.89099	311
528.22278	319
528.5545	313
528.88629	310
529.21802	311
529.5498	313
529.88153	307
530.21338	308
530.54517	309
530.87689	314
531.20868	308
531.54041	322
531.87219	309
532.20404	315
532.53583	315
532.86755	316
533.19934	305
533.53113	309
533.86292	305
534.19464	307
534.52649	305
534.85828	307
535.19006	308
535.52185	306
535.85364	306
536.18542	302
536.51715	298
536.849	305
537.18079	301
537.51257	299
537.84436	295
538.17615	296
538.50793	301
538.83972	292
539.17151	285
539.50336	282
539.83521	291
540.16699	289
540.49878	290
540.83057	285
541.16235	287
541.49414	286
541.82593	286
542.15784	283
542.48962	278
542.82141	283
543.1532	281
543.48499	288
543.81683	288
544.14862	281
544.48041	276
544.81226	275
545.1441	278
545.47589	269
545.80774	273
546.13953	270
546.47131	271
546.80316	276
547.13495	271
547.4668	272
547.79858	268
548.13043	268
548.46228	266
548.79413	267
549.12592	261
549.45776	269
549.78955	273
550.1214	267
550.45319	263
550.78503	263
551.11688	272
551.44867	264
551.78052	264
552.11243	263
552.44421	268
552.77606	261
553.10791	257
553.4397	259
553.77155	263
554.10339	268
554.43524	264
554.76709	260
555.09888	265
555.43073	257
555.76257	263
556.09442	263
556.42633	260
556.75818	263
557.08997	257
557.42181	262
557.75366	260
558.08551	255
558.41736	260
558.74921	267
559.08105	259
559.4129	261
559.74475	261
560.0766	259
560.40845	261
560.7403	250
561.07214	264
561.40405	260
561.7359	265
562.06781	264
562.39966	267
562.73151	268
563.06335	264
563.39526	265
563.72711	261
564.05896	264
564.39081	269
564.72266	267
565.05457	267
565.38641	266
565.71826	266
566.05017	261
566.38202	261
566.71387	268
567.04578	262
567.37762	267
567.70947	264
568.04138	269
568.37323	270
568.70514	269
569.03699	277
569.3689	269
569.70074	277
570.03265	273
570.36456	273
570.69647	276
571.02832	272
571.36023	274
571.69208	274
572.02399	274
572.35583	276
572.68774	279
573.01965	280
573.3515	277
573.68341	279
574.01532	279
574.34717	278
574.67908	285
575.01099	276
575.34283	282
575.67474	275
576.00665	277
576.33856	285
576.67041	283
577.00232	281
577.33423	281
577.66614	282
577.99805	279
578.32996	284
578.6618	279
578.99371	279
579.32562	286
579.65753	290
579.98944	284
580.32135	295
580.65326	284
580.98517	287
581.31708	289
581.64899	290
581.9809	295
582.31281	296
582.64471	296
582.97662	303
583.30853	299
583.64044	299
583.97235	304
584.30426	301
584.63623	305
584.96814	309
585.30005	305
585.63196	304
585.96387	305
586.29578	313
586.62775	306
586.95966	314
587.29156	316
587.62347	312
587.95538	310
588.28729	319
588.6192	327
588.95117	325
589.28308	327
589.61499	325
589.94696	347
590.27887	347
590.61078	337
590.94275	345
591.27466	349
591.60663	353
591.93854	356
592.27051	360
592.60242	356
592.93433	371
593.2663	377
593.59821	373
593.93018	382
594.26215	389
594.59406	386
594.92603	391
595.25793	397
595.5899	394
595.92181	406
596.25378	416
596.58569	410
596.9176	414
597.24957	435
597.58154	426
597.91345	429
598.24542	419
598.57739	451
598.90936	432
599.24127	451
599.57324	452
599.90521	461
600.23718	460
600.56909	481
600.90106	485
601.23303	487
601.565	508
601.89697	515
602.22888	508
602.56079	520
602.89276	527
603.22473	529
603.5567	551
603.88867	560
604.22064	572
604.55261	574
604.88458	583
605.21655	622
605.54852	626
605.88049	617
606.21246	649
606.54443	650
606.87634	669
607.20831	677
607.54028	700
607.87225	727
608.20422	742
608.53625	752
608.86823	783
609.2002	790
609.53217	812
609.86414	845
610.19611	873
610.52808	879
610.86005	920
611.19202	933
611.52399	955
611.85602	1004
612.18799	999
612.51996	1042
612.85193	1087
613.18396	1116
613.51593	1177
613.8479	1204
614.17987	1219
614.51184	1256
614.84381	1295
615.17584	1381
615.50781	1428
615.83984	1480
616.17181	1543
616.50378	1607
616.83582	1707
617.16779	1779
617.49976	1905
617.83173	1990
618.16376	2071
618.49573	2177
618.82776	2302
619.15973	2419
619.49176	2571
619.82373	2734
620.15576	2861
620.48773	3035
620.8197	3236
621.15173	3439
621.4837	3601
621.81573	3775
622.14777	4044
622.47974	4281
622.81177	4574
623.14374	4808
623.47571	5144
623.80774	5474
624.13977	5789
624.4718	6148
624.80377	6512
625.1358	6973
625.46783	7362
625.7998	7928
626.13177	8283
626.46381	8873
626.79584	9259
627.12787	9805
627.4599	10387
627.79193	11094
628.1239	11548
628.45587	12140
628.7879	12677
629.11993	13231
629.45197	13793
629.784	14385
630.11603	14830
630.448	15382
630.78003	15829
631.11206	16318
631.44409	16644
631.77612	16929
632.10815	17281
632.44019	17464
632.77216	17693
633.10419	17907
633.43622	17969
633.76825	18141
634.10028	18304
634.43231	18175
634.7644	18188
635.09637	18099
635.42841	17990
635.76044	17839
636.09247	17682
636.4245	17519
636.75653	17240
637.08856	17126
637.42059	16860
637.75262	16674
638.08466	16379
638.41675	16094
638.74878	15793
639.08081	15523
639.41278	15206
639.74487	14833
640.0769	14538
640.40894	14381
640.74103	14063
641.07306	13854
641.40503	13527
641.73712	13245
642.06915	12913
642.40125	12746
642.73328	12308
643.06531	12150
643.39734	11863
643.72937	11653
644.06146	11469
644.39349	11077
644.72559	10819
645.05756	10691
645.38965	10397
