raman_shift	intensity
-18.859688	6
-17.737869	9
-16.616169	10
-15.49459	8
-14.373129	8
-13.253152	7
-12.131928	12
-11.010823	8
-9.8912029	8
-8.7689705	11
-7.6495872	10
-6.5289574	9
-5.409811	9
-4.288054	14
-3.1691449	13
-2.0489898	16
-0.93031764	32
0.19096418	27
1.3093994	41
2.42908	43
3.5472784	20
4.6667218	12
5.7846837	8
6.9038901	10
8.021615	12
9.1405849	12
10.259436	9
11.378169	11
12.49542	10
13.613916	9
14.730932	11
15.849192	8
16.965971	10
18.082632	6
19.199175	7
20.316961	13
21.433268	8
22.550817	7
23.666889	8
24.784203	10
25.900036	7
27.015753	9
28.131351	10
29.248194	8
30.363556	11
31.480162	7
32.593929	8
33.710297	11
34.825188	8
35.941322	9
37.054619	8
38.170517	10
39.284939	8
40.399239	7
41.513424	7
42.627491	9
43.741444	7
44.856632	10
45.96899	10
47.083942	10
48.196064	10
49.310783	11
50.42403	9
51.537155	8
52.650166	11
53.763058	9
54.875832	9
55.988487	7
57.101028	10
58.212093	9
59.325756	9
60.436584	10
61.550011	11
62.66061	10
63.772446	8
64.884163	11
65.995766	9
67.107246	6
68.217255	11
69.329865	8
70.439636	7
71.550652	9
72.660194	6
73.770981	7
74.881645	11
75.992188	11
77.102615	9
78.211578	8
79.32177	9
80.430496	9
81.540459	10
82.648949	10
83.758682	11
84.868294	10
85.977783	10
87.087158	10
88.195068	15
89.304214	13
90.410538	15
91.519447	10
92.626884	12
93.735565	14
94.844124	9
95.95121	15
97.05954	15
98.166397	12
99.27449	13
100.37977	10
101.48763	10
102.59537	12
103.70164	11
104.80916	12
105.91385	13
107.02113	14
108.12694	13
109.23263	11
110.33956	14
111.44502	11
112.55037	15
113.65559	16
114.76206	15
115.86706	15
116.97194	20
118.07805	20
119.18135	17
120.28723	23
121.39165	27
122.49595	27
123.60014	26
124.7042	29
125.80815	39
126.91334	37
128.01572	50
129.11931	61
130.22281	71
131.32617	88
132.43079	96
133.53258	110
134.6356	127
135.73851	146
136.84131	172
137.94398	208
139.04654	217
140.14899	255
141.24997	292
142.35219	296
143.45563	326
144.55627	343
145.65814	362
146.75989	359
147.86018	371
148.96304	379
150.06311	382
151.1644	379
152.26558	370
153.36528	377
154.46623	368
155.56706	359
156.66643	352
157.76703	347
158.86617	336
159.96652	338
161.06677	324
162.16557	323
163.26559	317
164.36549	308
165.46394	310
166.56361	310
167.66318	310
168.76128	305
169.85927	311
170.95848	307
172.05624	306
173.15388	307
174.25275	307
175.35016	317
176.45013	302
177.54597	310
178.64305	314
179.74268	335
180.83818	337
181.93491	348
183.03419	341
184.12935	333
185.22572	342
186.32466	345
187.41948	332
188.5155	329
189.61276	337
190.70857	345
191.80426	341
192.89984	352
193.99664	341
195.09198	339
196.18721	343
197.28099	340
198.37868	348
199.47356	344
200.567	346
201.66165	352
202.75754	351
203.85197	355
204.94629	351
206.04048	353
207.13324	363
208.2272	364
209.32375	371
210.41615	366
211.50978	373
212.60329	373
213.69536	393
214.78864	373
215.88182	383
216.97354	394
218.06648	371
219.16199	382
220.25337	360
221.34596	385
222.43846	384
223.53082	370
224.62175	378
225.7139	371
226.80592	368
227.89651	358
228.98831	346
230.08	337
231.17024	332
232.26172	316
233.35306	306
234.44429	291
235.53407	284
236.62509	290
237.71597	279
238.80542	269
239.89609	270
240.98665	272
242.07442	276
243.16341	260
244.25362	264
245.3437	272
246.43236	277
247.52223	259
248.61198	266
249.70163	269
250.78983	262
251.87657	266
252.96588	251
254.05374	267
255.14281	265
256.23178	266
257.32062	260
258.40536	263
259.49399	268
260.58249	258
261.67087	272
262.75516	262
263.84335	264
264.9314	253
266.01801	267
267.10318	266
268.19089	255
269.27847	266
270.36465	277
271.44937	270
272.53662	268
273.62378	269
274.70682	278
275.79373	270
276.88055	268
277.9646	285
279.04984	261
280.13632	273
281.22	283
282.30624	274
283.39105	282
284.47443	295
285.56033	293
286.64346	299
287.72781	303
288.81339	300
289.89618	292
290.98151	295
292.06409	307
293.14789	301
294.23022	305
295.31512	322
296.39856	322
297.48059	313
298.56512	318
299.64691	320
300.73123	341
301.81149	334
302.89557	330
303.97693	343
305.05814	350
306.14059	348
307.22159	339
308.30511	335
309.38589	331
310.46921	336
311.54843	348
312.63153	329
313.71185	345
314.79205	347
315.8735	360
316.95349	335
318.03336	342
319.11578	345
320.19543	337
321.27631	354
322.35571	338
323.43503	339
324.51691	348
325.59598	348
326.67365	343
327.75516	354
328.83392	371
329.91257	350
330.99112	378
332.07086	381
333.14917	377
334.22736	386
335.30545	391
336.38608	423
337.46262	427
338.54037	418
339.61801	439
340.69818	457
341.7756	474
342.85159	497
343.92877	531
345.00586	516
346.08282	555
347.16232	574
348.23907	578
349.31439	575
350.39093	586
351.46735	582
352.54364	587
353.61981	611
354.69724	598
355.77319	634
356.84906	664
357.9248	694
359.00043	705
360.07596	704
361.15005	728
362.22534	701
363.30054	683
364.37561	686
365.45059	683
366.52542	704
367.59885	705
368.67349	718
369.74802	752
370.82242	792
371.89673	779
372.97092	821
374.04367	869
375.11765	933
376.1915	987
377.26523	1130
378.33887	1388
379.41238	1831
380.48581	2644
381.5578	3532
382.63098	3700
383.70142	3024
384.77438	2060
385.84726	1318
386.91998	954
387.99265	826
389.06384	766
390.13626	755
391.20593	760
392.27811	832
393.35019	890
394.42218	977
395.49402	1118
396.56445	1296
397.63348	1605
398.70502	1992
399.77643	2555
400.84772	3310
401.91629	4238
402.9874	5165
404.05835	5813
405.1279	5780
406.19604	5188
407.26669	4227
408.33722	3322
409.40765	2593
410.47534	2060
411.54553	1729
412.61563	1467
413.68167	1290
414.75153	1126
415.82129	996
416.88834	891
417.95786	820
419.02731	781
420.09399	744
421.16321	733
422.22968	713
423.29736	712
424.36624	705
425.43237	688
426.50104	698
427.56699	685
428.63541	720
429.70111	694
430.76935	696
431.83743	707
432.90283	713
433.96939	696
435.03458	718
436.10223	744
437.16718	751
438.23462	725
439.29935	737
440.36658	749
441.43106	764
442.49545	762
443.56238	775
444.62653	753
445.69193	740
446.75586	746
447.82233	732
448.88605	723
449.94968	703
451.01581	696
452.07922	668
453.14514	652
454.20831	633
455.27139	607
456.33698	581
457.39984	593
458.46259	538
459.52655	535
460.58908	503
461.65149	489
462.71643	456
463.77863	436
464.84073	399
465.90533	379
466.96719	340
468.02896	316
469.09064	308
470.15479	272
471.21622	264
472.27756	250
473.33878	241
474.4025	238
475.4635	254
476.5231	242
477.58389	248
478.64456	244
479.70514	251
480.76819	246
481.82855	257
482.88879	256
483.94894	252
485.00894	259
486.06888	273
487.13129	271
488.19098	270
489.25058	281
490.31006	283
491.36942	303
492.42868	301
493.48785	299
494.54688	302
495.60583	319
496.66464	317
497.72339	312
498.78198	325
499.84048	334
500.8989	346
501.95718	358
503.01535	379
504.07343	385
505.13138	426
506.18924	454
507.24698	494
508.30331	553
509.36084	594
510.41824	677
511.47556	781
512.53278	940
513.58984	1159
514.64685	1482
515.70374	1936
516.7605	2747
517.81714	3856
518.87372	5294
519.92755	6234
520.98389	6231
522.0401	5297
523.09625	4065
524.15222	2976
525.20813	2258
526.26135	1751
527.31702	1390
528.37262	1184
529.4281	1010
530.48346	898
531.5387	806
532.59125	751
533.6463	670
534.70123	646
535.75604	600
536.80817	605
537.86279	556
538.9173	528
539.97168	502
541.02338	511
542.07758	468
543.13159	494
544.18298	485
545.23682	483
546.29059	468
547.34296	466
548.39648	459
549.44989	467
550.50061	460
551.55383	453
552.60693	433
553.65729	458
554.71021	457
555.76038	444
556.81305	443
557.8656	454
558.91547	457
559.96783	462
561.01746	471
562.06958	462
563.11902	466
564.17096	457
565.22021	450
566.27191	446
567.32349	433
568.37238	436
569.42377	415
570.47247	414
571.52106	408
572.57208	413
573.62048	406
574.67133	399
575.72076	406
576.77136	395
577.81934	393
578.86975	394
579.91748	394
580.96509	404
582.01514	402
583.06256	395
584.11243	387
585.15961	392
586.20673	384
587.25629	391
588.30316	388
589.34991	389
590.39917	387
591.44568	377
592.49341	387
593.54236	374
594.58856	383
595.6347	379
596.68329	371
597.72919	362
598.77502	352
599.82074	355
600.8689	333
601.91437	328
602.95972	335
604.005	325
605.05273	313
606.09784	331
607.14404	327
608.1889	320
609.23364	314
610.28082	317
611.32538	321
612.36981	320
613.41412	322
614.45831	308
615.50244	316
616.54901	311
617.5929	311
618.63794	310
619.68164	306
620.72522	295
621.76868	303
622.81201	301
623.85529	289
624.89844	283
625.94147	288
626.98438	284
628.02979	265
629.07379	268
630.11639	266
631.15894	268
632.20135	255
633.24365	258
634.28583	249
635.32788	247
636.36987	241
637.41174	238
638.45483	235
639.4939	234
640.53546	227
641.5769	224
642.61829	219
643.65948	211
644.70062	201
645.74292	214
646.78387	199
647.82471	207
648.86542	201
649.90601	193
650.94391	192
651.98431	194
653.0246	192
654.0661	195
655.10614	194
656.14612	190
657.18341	203
658.22321	195
659.26288	195
660.30243	188
661.34186	187
662.37988	193
663.41913	195
664.45825	205
665.49731	203
666.53363	205
667.57245	208
668.61243	221
669.65106	207
670.68695	213
671.72534	220
672.76367	220
673.79926	227
674.83862	221
675.87659	217
676.91193	215
677.94965	215
678.9873	212
680.02234	221
681.05975	217
682.09839	212
683.13306	225
684.17017	226
685.20465	219
686.24158	230
687.27838	233
688.31378	236
689.3504	231
690.38434	237
691.42078	243
692.45447	241
693.49194	253
694.52545	250
695.56146	250
696.59479	247
697.63049	252
698.66364	249
699.70044	252
700.73334	256
701.76868	254
702.80139	241
703.83655	241
704.8703	249
705.90521	236
706.9375	243
707.96967	245
709.00427	222
710.03748	227
711.0719	232
712.10364	241
713.13531	241
714.16937	245
715.20209	242
716.23596	246
717.26721	237
718.29834	247
719.33191	254
720.36407	257
721.3949	251
722.4256	248
723.45874	253
724.48926	258
725.52094	260
726.55371	264
727.58392	262
728.61401	273
729.64398	270
730.67767	268
731.70746	279
732.73712	282
733.76666	273
734.79742	291
735.82928	291
736.85858	293
737.8877	304
738.91675	320
739.94696	315
740.97577	318
742.00708	326
743.03571	336
744.06549	346
745.09393	364
746.12219	361
747.15045	363
748.17981	372
749.20782	381
750.23828	378
751.26605	371
752.29376	378
753.32263	371
754.3501	366
755.3775	363
756.40479	362
757.43323	343
758.46027	338
759.48724	316
760.5141	318
761.54211	303
762.56879	301
763.59534	284
764.62183	284
765.64941	275
766.67566	258
767.70178	259
768.72784	240
769.7525	239
770.77832	233
771.80408	239
772.83099	240
773.85651	256
774.8819	256
775.90723	254
776.93372	249
777.9588	253
778.98126	250
780.00616	251
781.03223	247
782.05695	241
783.08154	233
784.1048	242
785.12915	224
786.15344	231
787.17761	230
788.20294	220
789.22443	224
790.24829	215
791.27332	216
792.297	208
793.31799	212
794.34149	202
795.36609	211
796.38934	194
797.40997	208
798.43427	213
799.45721	207
800.47754	207
801.50031	214
802.52417	211
803.54419	207
804.56665	212
805.59021	226
806.60992	226
807.63202	241
808.65277	242
809.67474	241
810.69653	247
811.71698	246
812.73859	257
813.75757	272
814.77899	263
815.79901	267
816.82025	262
817.83881	270
818.86108	261
819.88196	270
820.90021	263
821.92218	248
822.94025	242
823.96069	245
824.97986	236
825.99762	234
827.01776	216
828.03656	213
829.05658	203
830.07391	201
831.09369	198
832.11206	184
833.12909	194
834.14984	189
835.16669	181
836.18591	170
837.2038	171
838.22034	167
839.23932	164
840.2569	166
841.27313	170
842.29175	173
843.30902	168
844.32495	166
845.34332	161
846.36029	158
847.37592	161
848.39392	153
849.41058	153
850.4259	163
851.4411	161
852.46002	162
853.47498	161
854.48993	156
855.50598	152
856.52319	157
857.53778	161
858.55353	145
859.56793	151
860.5835	152
861.60022	152
862.61426	163
863.62952	165
864.64343	153
865.65723	157
866.67212	143
867.68573	152
868.70172	151
869.71637	150
870.72968	150
871.74408	155
872.75714	153
873.77014	153
874.78424	146
875.79706	150
876.81097	155
877.82355	151
878.836	150
879.84961	163
880.86188	149
881.87531	148
882.88739	141
883.89935	159
884.91248	147
885.92426	150
886.93591	153
887.94873	150
888.96014	148
889.97278	156
890.98401	157
891.99518	155
893.00751	164
894.01843	153
895.03058	153
896.04132	160
897.04944	156
898.06128	163
899.07172	163
900.08331	163
901.09357	156
902.1037	157
903.11499	165
904.12244	159
905.13354	162
906.14331	163
907.15417	157
908.1637	157
909.17065	167
910.18127	169
911.19049	168
912.20087	164
913.2074	166
914.21637	172
915.22644	162
916.23517	163
917.24255	166
918.2511	175
919.2608	171
920.2666	169
921.27484	170
922.28424	176
923.28979	173
924.29895	173
925.30682	182
926.31329	178
927.32092	183
928.32843	196
929.33459	192
930.34198	200
931.34796	207
932.35504	213
933.36334	222
934.3678	236
935.37585	244
936.38007	246
937.38794	258
938.39203	249
939.39844	282
940.4035	287
941.40973	303
942.41461	295
943.42065	298
944.42535	296
945.43115	299
946.43561	299
947.44128	299
948.44556	285
949.45099	306
950.45508	302
951.46027	307
952.46289	307
953.46667	306
954.47162	313
955.47522	313
956.47992	308
957.48334	317
958.48535	304
959.49103	312
960.49286	319
961.49585	307
962.5	321
963.50275	313
964.50421	318
965.50928	309
966.5105	313
967.51294	325
968.51642	321
969.51862	335
970.51947	318
971.52148	321
972.5246	335
973.52637	327
974.52679	331
975.52844	323
976.53113	341
977.53131	317
978.53259	342
979.53375	333
980.53363	342
981.53589	339
982.53674	346
983.53632	337
984.53699	324
985.5376	333
986.53687	314
987.53723	320
988.53882	306
989.53778	283
990.53784	271
991.53784	270
992.5365	250
993.53632	252
994.53479	226
995.53436	232
996.53265	220
997.53204	216
998.53015	214
999.52936	202
1000.5272	189
1001.5262	198
1002.5239	196
1003.5227	185
1004.5201	181
1005.5188	185
1006.5161	170
1007.5145	180
1008.5115	174
1009.5098	174
1010.5079	175
1011.5046	165
1012.5026	163
1013.4991	170
1014.4969	150
1015.4933	152
1016.4883	156
1017.4845	154
1018.4819	157
1019.4778	151
1020.475	145
1021.4708	153
1022.4652	145
1023.4621	143
1024.4575	139
1025.4542	136
1026.4495	128
1027.4435	146
1028.4386	137
1029.4348	138
1030.4297	120
1031.4258	126
1032.4193	125
1033.4138	127
1034.4097	119
1035.4016	125
1036.3971	121
1037.3914	122
1038.3867	115
1039.3795	119
1040.3734	110
1041.3685	107
1042.3597	105
1043.3546	112
1044.3481	112
1045.3403	109
1046.335	116
1047.3257	106
1048.3201	103
1049.3131	97
1050.3048	102
1051.2976	104
1052.2892	102
1053.2831	108
1054.2731	101
1055.2668	103
1056.2592	107
1057.2502	102
1058.2435	106
1059.2332	103
1060.2264	103
