raman_shift	intensity
-21.10368	194
-19.981625	195
-18.859688	197
-17.737869	197
-16.616169	196
-15.49459	196
-14.373129	197
-13.253152	195
-12.131928	196
-11.010823	197
-9.8912029	197
-8.7689705	198
-7.6495872	196
-6.5289574	195
-5.409811	196
-4.288054	196
-3.1691449	198
-2.0489898	197
-0.93031764	199
0.19096418	198
1.3093994	199
2.42908	197
3.5472784	197
4.6667218	196
5.7846837	199
6.9038901	198
8.021615	196
9.1405849	196
10.259436	195
11.378169	195
12.49542	197
13.613916	197
14.730932	199
15.849192	197
16.965971	196
18.082632	198
19.199175	196
20.316961	196
21.433268	196
22.550817	197
23.666889	197
24.784203	197
25.900036	197
27.015753	197
28.131351	197
29.248194	196
30.363556	196
31.480162	196
32.593929	195
33.710297	195
34.825188	198
35.941322	195
37.054619	199
38.170517	196
39.284939	196
40.399239	197
41.513424	197
42.627491	196
43.741444	196
44.856632	197
45.96899	196
47.083942	197
48.196064	194
49.310783	197
50.42403	195
51.537155	198
52.650166	195
53.763058	196
54.875832	196
55.988487	197
57.101028	198
58.212093	196
59.325756	197
60.436584	195
61.550011	196
62.66061	198
63.772446	198
64.884163	196
65.995766	197
67.107246	196
68.217255	196
69.329865	197
70.439636	195
71.550652	196
72.660194	196
73.770981	194
74.881645	196
75.992188	198
77.102615	197
78.211578	196
79.32177	197
80.430496	196
81.540459	198
82.648949	197
83.758682	197
84.868294	196
85.977783	196
87.087158	195
88.195068	197
89.304214	195
90.410538	197
91.519447	197
92.626884	196
93.735565	195
94.844124	196
95.95121	195
97.05954	196
98.166397	197
99.27449	198
100.37977	196
101.48763	196
102.59537	198
103.70164	195
104.80916	197
105.91385	197
107.02113	196
108.12694	195
109.23263	197
110.33956	195
111.44502	196
112.55037	197
113.65559	197
114.76206	197
115.86706	198
116.97194	195
118.07805	195
119.18135	198
120.28723	197
121.39165	197
122.49595	196
123.60014	197
124.7042	198
125.80815	195
126.91334	195
128.01572	197
129.11931	197
130.22281	199
131.32617	199
132.43079	197
133.53258	199
134.6356	200
135.73851	202
136.84131	197
137.94398	203
139.04654	203
140.14899	205
141.24997	201
142.35219	205
143.45563	205
144.55627	204
145.65814	208
146.75989	205
147.86018	204
148.96304	206
150.06311	207
151.1644	205
152.26558	207
153.36528	202
154.46623	206
155.56706	204
156.66643	205
157.76703	207
158.86617	202
159.96652	205
161.06677	204
162.16557	205
163.26559	205
164.36549	204
165.46394	205
166.56361	206
167.66318	208
168.76128	205
169.85927	208
170.95848	207
172.05624	208
173.15388	208
174.25275	208
175.35016	207
176.45013	209
177.54597	211
178.64305	206
179.74268	207
180.83818	204
181.93491	201
183.03419	204
184.12935	205
185.22572	204
186.32466	202
187.41948	204
188.5155	205
189.61276	203
190.70857	208
191.80426	207
192.89984	205
193.99664	204
195.09198	204
196.18721	203
197.28099	205
198.37868	206
199.47356	207
200.567	204
201.66165	203
202.75754	204
203.85197	203
